x1,x2,x3,x4,y1
   4.67731,   3.51071,   1.01395,   5.38974,  -0.26660
   6.61080,   6.66393,   4.57841,   9.57337,   0.01064
   6.17681,   2.12285,   3.10499,   9.13534,  -0.67226
   7.40868,   3.74357,   5.02723,   6.62104,  -2.29959
   1.78176,   9.96780,   1.64677,   5.35671,   2.20651
   3.48503,   1.10227,   6.71546,   7.92508,  -1.96984
   2.30106,   4.81364,   9.78300,   4.82946,  -0.50723
   2.00624,   5.85673,   4.76272,   6.02416,   3.05245
   4.32638,   2.63465,   3.52775,   4.47321,  -1.78932
   2.97438,   9.05877,   2.97000,   6.34119,   1.80482
   7.18317,   4.25555,   4.43712,   9.20123,  -0.61451
   7.88374,   5.24725,   8.70072,   1.62452,   0.37259
   2.42631,   5.98987,   2.14095,   1.11112,  -3.46031
   2.00846,   5.54081,   5.76186,   3.66966,  -1.68834
   9.21433,   9.36054,   3.09389,   8.44360,   0.02733
   6.81160,   3.53664,   9.60225,   9.51783,  38.79014
